################################################################
# ThreatFox IOCs: recent URLs - CSV format                     #
# Last updated: 2025-12-14 02:15:07 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2025-12-14 02:15:07", "1678533", "http://towerbingobongoboom.com:8080/updater?for=72CFA65519C25A05C2556FCC010387FC", "url", "botnet_cc", "unknown", "None", "Unknown malware", "", "100", "None", "GoProxy", "0", "abuse_ch"
"2025-12-13 15:44:29", "1677835", "https://simaalborg.dk/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/simaalborg.dk", "ClickFix", "0", "CarsonWilliams"
"2025-12-13 14:34:28", "1677830", "https://jqueryapihelpers.com/ZRk5hZRslW1-tkY60uruimakLJ1zQfozs9hIZwdPPcb", "url", "payload_delivery", "js.fakeupdates", "FakeUpdate,GhoLoader,SocGholish", "FAKEUPDATES", "", "100", "None", "SocGholish", "0", "threatcat_ch"
"2025-12-13 11:26:28", "1677766", "http://107.174.115.101:8888/supershell/login/", "url", "botnet_cc", "unknown", "None", "Unknown malware", "", "100", "None", "AS36352,HostPapa,supershell", "0", "antiphishorg"
"2025-12-13 11:26:27", "1677755", "https://travellerschoice.ae/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/travellerschoice.ae", "ClickFix", "0", "CarsonWilliams"
"2025-12-13 11:26:26", "1677754", "https://ace-batiment.com/", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "90", "https://clickfix.carsonww.com/domains/ace-batiment.com", "ClickFix", "0", "CarsonWilliams"
"2025-12-13 08:00:51", "1677471", "http://23.95.148.136:8888/supershell/login/", "url", "botnet_cc", "unknown", "None", "Unknown malware", "", "100", "None", "AS36352,HostPapa,supershell", "0", "antiphishorg"
"2025-12-13 08:00:50", "1677475", "http://77.110.114.11/ce369e7324834845.php", "url", "botnet_cc", "win.stealc", "None", "Stealc", "2025-12-13 06:04:07", "100", "https://bazaar.abuse.ch/sample/14703a96c5eb7b454998ee60a5effbedc43436486bf3b70355fcccce92dacc8e/", "c2,stealc", "0", "burger"
"2025-12-13 08:00:50", "1677479", "http://77.105.161.133/1ea995999d91ca21.php", "url", "botnet_cc", "win.stealc", "None", "Stealc", "", "100", "https://bazaar.abuse.ch/sample/8f16da672b72afa99e534d022b945bdc8a4ea1083d09ba7930df2dd163eb3bb8", "c2,stealc,url", "0", "burger"
"2025-12-13 07:51:05", "1676765", "https://193.233.126.16/", "url", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "https://bazaar.abuse.ch/sample/e3d8c94bbd231d89d9c0fce27f25d0c5c9b99722f21305cce9f0fefc845e80a4/", "c2,url,vidar", "0", "burger"
